epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,26452.2,1.05688,0.50536,1.08566,0.92364,0.93752,0.96678,0.74568,1.00392,0.38489,1.07372,0.004258,0.004258,0.004258
60,26981.8,1.05648,0.50189,1.08471,0.924,0.93901,0.96695,0.74536,1.00256,0.38411,1.07289,0.004159,0.004159,0.004159
61,27510.5,1.0526,0.50075,1.08168,0.9245,0.94048,0.9673,0.74738,1.00132,0.38317,1.07201,0.00406,0.00406,0.00406
62,28018.4,1.04941,0.49884,1.08031,0.92495,0.9408,0.96755,0.74782,0.99999,0.3826,1.07096,0.003961,0.003961,0.003961
63,28546.1,1.04885,0.49817,1.08092,0.92654,0.93957,0.96757,0.74824,0.99866,0.38193,1.07002,0.003862,0.003862,0.003862
64,29030.7,1.04731,0.49613,1.08211,0.92662,0.93907,0.96757,0.74838,0.99713,0.38141,1.0692,0.003763,0.003763,0.003763
65,29471.4,1.04505,0.49508,1.07912,0.92939,0.93642,0.96795,0.74915,0.99583,0.38048,1.06838,0.003664,0.003664,0.003664
66,29912,1.04002,0.49407,1.07501,0.93172,0.93628,0.96837,0.74922,0.99436,0.37973,1.06731,0.003565,0.003565,0.003565
67,30352.4,1.03918,0.49272,1.07589,0.9324,0.93599,0.96866,0.7502,0.99295,0.37888,1.06627,0.003466,0.003466,0.003466
68,30792.9,1.03593,0.4892,1.07324,0.93328,0.93623,0.96893,0.75134,0.99144,0.37808,1.06513,0.003367,0.003367,0.003367
69,31233.8,1.03426,0.48955,1.07197,0.93434,0.93567,0.96943,0.75185,0.98988,0.3769,1.06414,0.003268,0.003268,0.003268
70,31674.3,1.03175,0.48533,1.07096,0.93596,0.93478,0.96985,0.75285,0.9881,0.37612,1.06305,0.003169,0.003169,0.003169
71,32115.1,1.02826,0.4842,1.0671,0.93694,0.93328,0.97024,0.75369,0.98661,0.37555,1.0621,0.00307,0.00307,0.00307
72,32555.8,1.02464,0.48276,1.06773,0.93282,0.93674,0.97057,0.75451,0.98513,0.37465,1.06123,0.002971,0.002971,0.002971
73,32996.2,1.02397,0.48223,1.06791,0.94006,0.93331,0.97084,0.75466,0.98373,0.37385,1.06037,0.002872,0.002872,0.002872
74,33436.5,1.01786,0.47764,1.06665,0.92402,0.94976,0.97131,0.7558,0.98206,0.37317,1.05947,0.002773,0.002773,0.002773
75,33877.4,1.01646,0.4774,1.06392,0.92786,0.94406,0.97165,0.75642,0.98046,0.37242,1.05848,0.002674,0.002674,0.002674
76,34317.9,1.01439,0.4759,1.06298,0.93037,0.94531,0.97203,0.75686,0.979,0.37145,1.05754,0.002575,0.002575,0.002575
77,34774.4,1.00849,0.47253,1.05916,0.93158,0.94544,0.97219,0.75611,0.97737,0.37066,1.05642,0.002476,0.002476,0.002476
78,35243.2,1.00696,0.471,1.06003,0.93052,0.94806,0.97248,0.75701,0.97584,0.36981,1.05546,0.002377,0.002377,0.002377
79,35735.1,1.00532,0.46885,1.0588,0.93256,0.94843,0.97269,0.75683,0.97404,0.36899,1.05444,0.002278,0.002278,0.002278
80,36229.5,1.00117,0.46858,1.0588,0.929,0.95147,0.97297,0.7578,0.9725,0.36785,1.05349,0.002179,0.002179,0.002179
81,36720.7,0.99859,0.46733,1.05678,0.9279,0.95264,0.97317,0.7586,0.97087,0.36717,1.05249,0.00208,0.00208,0.00208
82,37205.4,0.99532,0.46482,1.05591,0.92905,0.95348,0.97364,0.75937,0.96914,0.36617,1.05141,0.001981,0.001981,0.001981
83,37684,0.99049,0.4611,1.05262,0.92758,0.95624,0.97398,0.76049,0.96736,0.36552,1.05056,0.001882,0.001882,0.001882
84,38162.6,0.98857,0.45908,1.05102,0.92779,0.95562,0.97425,0.76117,0.96563,0.36445,1.04957,0.001783,0.001783,0.001783
85,38628.7,0.98497,0.45596,1.04812,0.92855,0.9532,0.9746,0.7618,0.96384,0.36352,1.04846,0.001684,0.001684,0.001684
86,39084.2,0.98129,0.45547,1.04728,0.93029,0.95489,0.97492,0.7625,0.962,0.36268,1.04731,0.001585,0.001585,0.001585
87,39540,0.97869,0.45323,1.04533,0.93098,0.95386,0.9751,0.76295,0.9601,0.36194,1.0462,0.001486,0.001486,0.001486
88,40008,0.97309,0.44962,1.04376,0.93253,0.95482,0.97522,0.76374,0.9584,0.36105,1.04507,0.001387,0.001387,0.001387
89,40487.6,0.97027,0.4469,1.04224,0.93212,0.95595,0.97536,0.76383,0.95662,0.36039,1.04407,0.001288,0.001288,0.001288
90,40964.2,0.96604,0.44669,1.04131,0.93348,0.95441,0.97575,0.7651,0.95488,0.35961,1.04313,0.001189,0.001189,0.001189
91,41462.2,0.9375,0.38105,1.04079,0.94152,0.95133,0.97604,0.76505,0.95271,0.35855,1.04207,0.00109,0.00109,0.00109
92,41925.1,0.92525,0.37447,1.03184,0.94158,0.9525,0.97631,0.76583,0.95034,0.35752,1.04076,0.000991,0.000991,0.000991
93,42394,0.9181,0.37061,1.03033,0.94317,0.95112,0.97666,0.76669,0.94775,0.3563,1.03935,0.000892,0.000892,0.000892
94,42866.3,0.91205,0.3681,1.02836,0.94255,0.95226,0.97698,0.76772,0.94533,0.3552,1.03825,0.000793,0.000793,0.000793
95,43338.8,0.90496,0.36427,1.02342,0.94302,0.95271,0.97721,0.76852,0.94274,0.35411,1.03694,0.000694,0.000694,0.000694
96,43790.5,0.89961,0.36177,1.01993,0.94383,0.95495,0.97748,0.76925,0.94017,0.35307,1.03557,0.000595,0.000595,0.000595
